name,unicode
Alien,👽
Alien Monster,👾
Avocado,🥑
Baby Chick,🐤
Bacon,🥓
Banana,🍌
Bell Pepper,🫑
Bento Box,🍱
Bird,🐦
Blowfish,🐡
Blueberries,🫐
Broccoli,🥦
Cancer,♋
Canned Food,🥫
Carp Streamer,🎏
Carrot,🥕
Cherries,🍒
Chestnut,🌰
Chicken,🐔
Chipmunk,🐿️
Chopsticks,🥢
Coconut,🥥
Cow,🐄
Crab,🦀
Croissant,🥐
Cucumber,🥒
Curry Rice,🍛
Cut of Meat,🥩
Deer,🦌
Dove,🕊️
Drooling Face,🤤
Duck,🦆
Eagle,🦅
Ear of Corn,🌽
Egg,🥚
Eggplant,🍆
Ewe,🐑
Face Savoring Food,😋
Feather,🪶
Fish,🐟
Fish Cake with Swirl,🍥
Fishing Pole,🎣
Flag for Berry Islands (BS-BY),🏴󠁢󠁳󠁢󠁹󠁿
Flying Saucer,🛸
Front-Facing Baby Chick,🐥
Glass of Milk,🥛
Goat,🐐
Grapes,🍇
Green Apple,🍏
Green Salad,🥗
Hatching Chick,🐣
Herb,🌿
Hot Pepper,🌶️
Jack-O-Lantern,🎃
Kitchen Knife,🔪
Kiwi Fruit,🥝
Leafy Green,🥬
Lemon,🍋
Lobster,🦞
Mango,🥭
Meat on Bone,🍖
Melon,🍈
Middle Finger,🖕
Nut and Bolt,🔩
Octopus,🐙
Oden,🍢
Olive,🫒
Onion,🧅
Otter,🦦
Owl,🦉
Oyster,🦪
Parrot,🦜
Peach,🍑
Peacock,🦚
Peanuts,🥜
Pear,🍐
Penguin,🐧
Person Gesturing OK,🙆
Pie,🥧
Pig,🐖
Pine Decoration,🎍
Pineapple,🍍
Pisces,♓
Pizza,🍕
Popcorn,🍿
Pot of Food,🍲
Potato,🥔
Poultry Leg,🍗
Pretzel,🥨
Red Apple,🍎
Roasted Sweet Potato,🍠
Rooster,🐓
Salt,🧂
Sandwich,🥪
Seedling,🌱
Shallow Pan of Food,🥘
Shark,🦈
Sheaf of Rice,🌾
Shrimp,🦐
Slot Machine,🎰
Spaghetti,🍝
Spiral Shell,🐚
Squid,🦑
Steaming Bowl,🍜
Strawberry,🍓
Stuffed Flatbread,🥙
Sushi,🍣
Swan,🦢
T-Rex,🦖
Taco,🌮
Takeout Box,🥡
Tangerine,🍊
Tomato,🍅
Tropical Drink,🍹
Tropical Fish,🐠
Turkey,🦃
Watermelon,🍉
Wrench,🔧
