produce,name
Apple,Green Apple
Apricot,Tangerine
Asparagus,Leafy Green
Aubergine,Eggplant
Banana,Banana
Basil,Herb
Beef,Cow
Beetroot,Alien
Blackberry,T-Rex
Blackcurrants,T-Rex
Bramley apple,Green Apple
Broad bean,Leafy Green
Broccoli,Broccoli
Brussels sprouts,Alien
Cabbage,Leafy Green
Carrot,Carrot
Cauliflower,Broccoli
Cavolo nero,Leafy Green
Celeriac,Alien
Celery,Leafy Green
Cherry,Cherries
Chervil,Herb
Chestnut,Chestnut
Chicken,Chicken
Chicory,Leafy Green
Clementine,Tangerine
Cod,Fishing Pole
Courgette,Cucumber
Courgette flower,Cucumber
Crab,Crab
Crab apple,Red Apple
Cranberry,T-Rex
Damson,Alien Monster
Date,Alien Monster
Duck,Duck
Elderberries,T-Rex
Fennel bulb,Alien
Fig,Alien Monster
Garlic,Seedling
Globe artichoke,Leafy Green
Goose,Duck
Gooseberry,T-Rex
Grapefruit,Alien Monster
Grouse,Rooster
Guinea fowl,Rooster
Halibut,Fishing Pole
Jerusalem artichoke,Leafy Green
Kale,Leafy Green
Kipper,Fishing Pole
Kohlrabi,Alien
Lamb,Ewe
Lamb's lettuce,Leafy Green
Leek,Leafy Green
Lemon,Lemon
Lettuce,Leafy Green
Loganberry,T-Rex
Mackerel,Fishing Pole
Mangetout,Leafy Green
Marrow,Alien
Mint,Herb
Mussels,Spiral Shell
Nectarine,Tangerine
New potatoes,Potato
Onion,Onion
Orange,Tangerine
Oyster,Oyster
Pak choi,Leafy Green
Parsnip,Alien
Peach,Peach
Pear,Pear
Peas,Alien Monster
Pepper,T-Rex
Plum,Alien Monster
Pomegranate,Alien Monster
Pork,Pig
Potato,Potato
Pumpkin,Jack-O-Lantern
Purple sprouting broccoli,Broccoli
Quince,Alien Monster
Radicchio,Alien
Radish,Alien
Raspberry,T-Rex
Redcurrant,T-Rex
Rhubarb,Alien Monster
Runner bean,Leafy Green
Salmon,Sushi
Salsify,Alien
Samphire,Leafy Green
Sorrel,Leafy Green
Spinach,Leafy Green
Spring greens,Leafy Green
Spring lamb,Ewe
Spring onion,Seedling
Strawberry,Strawberry
Swede,Roasted Sweet Potato
Sweet potato,Roasted Sweet Potato
Sweetcorn,Ear of Corn
Swiss chard,Leafy Green
Tayberry,T-Rex
Tomato,Tomato
Tuna,Fishing Pole
Turkey,Turkey
Turnip,Alien
Venison,Deer
Watercress,Herb
Watermelon,Watermelon
White asparagus,Leafy Green
Whiting,Fishing Pole
