produce,month,status,is_meat,is_fish,is_fruit,is_veg
Apple,Jan,At its best,FALSE,FALSE,TRUE,FALSE
Apricot,Jan,Out of season,FALSE,FALSE,TRUE,FALSE
Asparagus,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Aubergine,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Banana,Jan,At its best,FALSE,FALSE,TRUE,FALSE
Basil,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Beef,Jan,At its best,TRUE,FALSE,FALSE,FALSE
Beetroot,Jan,At its best,FALSE,FALSE,FALSE,TRUE
Blackberry,Jan,Out of season,FALSE,FALSE,TRUE,FALSE
Blackcurrants,Jan,Out of season,FALSE,FALSE,TRUE,FALSE
Bramley apple,Jan,At its best,FALSE,FALSE,TRUE,FALSE
Broad bean,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Broccoli,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Brussels sprouts,Jan,At its best,FALSE,FALSE,FALSE,TRUE
Cabbage,Jan,At its best,FALSE,FALSE,FALSE,TRUE
Carrot,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Cauliflower,Jan,At its best,FALSE,FALSE,FALSE,TRUE
Cavolo nero,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Celeriac,Jan,At its best,FALSE,FALSE,FALSE,TRUE
Celery,Jan,At its best,FALSE,FALSE,FALSE,TRUE
Cherry,Jan,Out of season,FALSE,FALSE,TRUE,FALSE
Chervil,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Chestnut,Jan,At its best,FALSE,FALSE,FALSE,TRUE
Chicken,Jan,At its best,TRUE,FALSE,FALSE,FALSE
Chicory,Jan,At its best,FALSE,FALSE,FALSE,TRUE
Clementine,Jan,At its best,FALSE,FALSE,TRUE,FALSE
Cod,Jan,Coming in,FALSE,TRUE,FALSE,FALSE
Courgette,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Courgette flower,Jan,Out of season,FALSE,FALSE,FALSE,TRUE
Crab,Jan,Out of season,FALSE,TRUE,FALSE,FALSE
Crab apple,Jan,Out of season,FALSE,FALSE,TRUE,FALSE
Cranberry,Jan,Out of season,FALSE,FALSE,TRUE,FALSE
Damson,Jan,Out of season,FALSE,FALSE,TRUE,FALSE
Date,Jan,At its best,FALSE,FALSE,TRUE,FALSE
